productid,Rating,ReviewCount,category,brand,name,image_url,description,tags
1,4.6,209,household essentials bathroom bathroom cleaners,kaboom,kaboom shower guard daily shower cleaner 30 oz protect repel stains,https://i5.walmartimages.com/asr/8a2acc6f-eefa-4220-969d-1f5464d2ce49_1.770d5babd340d2ffc7f50a00b73a69b6.jpeg | https://i5.walmartimages.com/asr/53e97dbf-b4cb-4955-bce5-3a8eae457e36_1.8bf4281bca19411c40a00d361aa29750.jpeg | https://i5.walmartimages.com/asr/3e6d9f38-d587-4716-8ec0-e5846bd87740_1.603a87758eb69f9214b608a277bd669b.jpeg | https://i5.walmartimages.com/asr/751350df-abec-47e4-8c0c-de2afd7aac26_1.aa4d180fc310dc121a78bed508aaaa3f.jpeg,kaboom shower guard daily shower cleaner creates special transparent shield tile glass repels soap scum hard water stains calcium lime deposits 4x longer leading daily shower cleaner kaboom soap scum gone clean shine goes daily shower cleaner protects repels stains longer prevents buildup soap scum water stains calcium lime deposits forming longer lasting clean shine prevents fog glass mirror surfaces,"household essentials bathroom bathroom cleaners, kaboom, kaboom shower guard daily shower cleaner 30 oz protect repel stains, kaboom shower guard daily shower cleaner creates special transparent shield tile glass repels soap scum hard water stains calcium lime deposits 4x longer leading daily shower cleaner kaboom soap scum gone clean shine goes daily shower cleaner protects repels stains longer prevents buildup soap scum water stains calcium lime deposits forming longer lasting clean shine prevents fog glass mirror surfaces, kaboom shower guard daily shower cleaner 30 oz protect repel stains wal mart"
2,2.01,13,personal care incontinence incontinence,attends,2 pack attends classic briefs dry lockâ technology adult incontinence care x large unisex 20 briefs,https://i5.walmartimages.com/asr/6efadb33-6326-4115-8db0-a2fc172ea0c3_1.6727fe02424b03365972772d1edc1be0.png | https://i5.walmartimages.com/asr/22fdd336-9810-459e-9113-91c227f75c24_1.2255637cb9da2647189f5a8624d5052a.jpeg | https://i5.walmartimages.com/asr/0ba9c0c5-b856-44c1-a828-f10124121d68_1.11a28ca6720623e76884769708e10f4d.jpeg | https://i5.walmartimages.com/asr/67889c8b-7cfe-4373-96f2-0483adbcbb1d_1.c9206ca054964e12144d4aeee7a48e42.jpeg,attends classic brief excellent choice performance value equally important premiere attends professional grade product line designed skin wellness classic brief soft breathable material comfort contains single core plus layer absorbent polymers greater absorbency compared standard single core supersorb layer added enhance dryness odor blocking properties ensure confidence dignity extra large excellent combination performance value soft breathable material comfort single core plus layer absorbent polymers standard single core supersorb layer enhanced dryness odor blocking properties confidence dignity suitable heavy severe incontinence,"personal care incontinence incontinence, attends, 2 pack attends classic briefs dry lockâ technology adult incontinence care x large unisex 20 briefs, attends classic brief excellent choice performance value equally important premiere attends professional grade product line designed skin wellness classic brief soft breathable material comfort contains single core plus layer absorbent polymers greater absorbency compared standard single core supersorb layer added enhance dryness odor blocking properties ensure confidence dignity extra large excellent combination performance value soft breathable material comfort single core plus layer absorbent polymers standard single core supersorb layer enhanced dryness odor blocking properties confidence dignity suitable heavy severe incontinence, 2 pack attends classic briefs dry lockâ technology adult incontinence care x large unisex 20 briefs wal mart"
3,2.21,7,household essentials bathroom bathroom cleaners,watkins,watkins tub tile cleaner spray orange scent,https://i5.walmartimages.com/asr/29e66b1a-78b7-4ae0-9042-f0b07774cc70.a30714e78fe7c1d4edb641ee6a8b0a57.jpeg | https://i5.walmartimages.com/asr/255a91ff-fa85-44e4-bd43-9e76daa8965c_1.dbba1fd592b9c29bc284424685689ace.jpeg,natural cleaning goal reach watkins sparkling tub tile shower fixtures lingering citrus scent use watkins tub tile cleaner spray 24 fl oz trigger sprayer bottle tackles tough water stains soap scum ease natural solution phosphate free works great people sensitive skin ammonia free bleach free dye free sodium lauryl sulfate free safe septic systems environmentally friendly watkins tub tile cleaner spray citrus 24 fl oz,"household essentials bathroom bathroom cleaners, watkins, watkins tub tile cleaner spray orange scent, natural cleaning goal reach watkins sparkling tub tile shower fixtures lingering citrus scent use watkins tub tile cleaner spray 24 fl oz trigger sprayer bottle tackles tough water stains soap scum ease natural solution phosphate free works great people sensitive skin ammonia free bleach free dye free sodium lauryl sulfate free safe septic systems environmentally friendly watkins tub tile cleaner spray citrus 24 fl oz, watkins tub tile cleaner spray orange scent wal mart"
4,2.36,461,beauty beauty brands makeup,paris,loreal paris infallible pro 2 step lipstick permanent blush 1 kit,https://i5.walmartimages.com/asr/3adec924-7090-47f6-b57c-e5a8e40b4074_1.305e361e942d81d7b358b855ef13c4cb.jpeg | https://i5.walmartimages.com/asr/6b4c9066-1eda-4f40-b736-f96c92112619_1.85b705dbe8c0391ba5b09cf52dbbd859.jpeg,introducing loreal pro 2 step lipstick long lasting transfer proof lipstick ve searching fading bleeding high intensity lip color glides moisturizing feel lasts 24 hours result bold moisturizing lip color need apply stays 24 hours lipstick high intensity color pro look longwear stays 24hr transfer resistant,"beauty beauty brands makeup, paris, loreal paris infallible pro 2 step lipstick permanent blush 1 kit, introducing loreal pro 2 step lipstick long lasting transfer proof lipstick ve searching fading bleeding high intensity lip color glides moisturizing feel lasts 24 hours result bold moisturizing lip color need apply stays 24 hours lipstick high intensity color pro look longwear stays 24hr transfer resistant, paris infallible pro 2 step lipstick permanent blush 1 kit wal mart"
5,1.98,7,home bedding bed sheets fitted sheets,unique bargains,unique bargains satin silk fitted sheet deep pocket sheet,https://i5.walmartimages.com/asr/6eab7660-6bd8-4783-9b4a-2e6f6388bc62_1.0445ad156c602f2ddf3b304d2d75b99e.jpeg | https://i5.walmartimages.com/asr/fc84e680-bd16-42d5-8b50-e115e72c56b5_1.f52b421701f3dc50937986166e7d098e.jpeg | https://i5.walmartimages.com/asr/7f8d4e38-2fc8-4fc9-a038-811b5e8ac538_1.d964dedb849e0e36b357dc186a605349.jpeg | https://i5.walmartimages.com/asr/937d13d8-bb48-4ae8-88d4-404e76951645_1.6a9f024ca6d1f70cd8c2c36a124b3cec.jpeg | https://i5.walmartimages.com/asr/bc36093d-737d-4519-a0d9-a3e68da0eac7_1.a33d9fc99c80d97499db99ddf1e14f48.jpeg | https://i5.walmartimages.com/asr/4ddb8ec8-c25c-44bf-91c8-c88e47e12405_1.e6e61292d034e7fce6984ed74a97dcf3.jpeg | https://i5.walmartimages.com/asr/31521a5a-fb57-4eea-b9bd-1d5ed9328054_1.2fcb731ea968ed445c39a097b0a462fc.jpeg,colgate total gum health mouthwash germ fighting formula forms protective shield gum line protects bacteria twice daily use clinically proven deliver 45 stronger reduction gingival bleeding non antibacterial mouthwash 6 week clinical study healthier gums colgate total gum health mouthwash kills 99 germs contact leaving cleaner mouth great tasting formula alcohol free mouthwash contain ethanol refreshing clean mint flavor antibacterial mouthwash offers germ protection fresh breath colgate total gum health alcohol free mouthwash clean mint advanced protection 45 stronger healthier gums fights plaque teeth gum line freshen breath antibacterial mouthwash kills 99 germs contact 12 hour protection bacteria cause gingivitis alcohol free mouthwash burn alcohol reduction gingival bleeding non antibacterial mouthwash 6 week clinical study,"home bedding bed sheets fitted sheets, unique bargains, unique bargains satin silk fitted sheet deep pocket sheet, , unique bargains satin silk fitted sheet deep pocket sheet wal mart"
6,1.36,0,health superfoods cleanses body cleanse body cleanse,nutra sx,nutra sx master maximum aids healthy helps increase helps detoxify,https://i5.walmartimages.com/asr/3b6b994d-e8a3-4814-8c00-630d36938600_1.f55e079a98d3353efd288a3673ae5e18.jpeg,nutra sx able gently assist natural digestive process naturally additives synthetic ingredients aids colon detoxifying system flushing pounds impacted waste undigested food imagine better feel rid toxins ve built time carrying single day slowing nutra sx achieves optimum detoxification aloe vera enzymes plant compounds proven help digestion improves nutrient absorption body carefully orchestrated system biological processes impacted weight clogs system introduces harmful toxins throws order struggling effects normal actually caused condition compile turning seemingly small issues large scale body wide problem symptoms impacted waste high cholesterol memory issues rapid weight gain occasional fatigue impaired digestion water retention poor metabolism weak immune system reduced fat oxidization bloating cramping poor nutrient nutrient absorption rev metabolism metabolism buildup toxins colon prevent body absorbing nutrients needs function nutra sx cleanse blend herbs enzymes formulated detoxify colon promote healthy digestion,"health superfoods cleanses body cleanse body cleanse, nutra sx, nutra sx master maximum aids healthy helps increase helps detoxify, nutra sx able gently assist natural digestive process naturally additives synthetic ingredients aids colon detoxifying system flushing pounds impacted waste undigested food imagine better feel rid toxins ve built time carrying single day slowing nutra sx achieves optimum detoxification aloe vera enzymes plant compounds proven help digestion improves nutrient absorption body carefully orchestrated system biological processes impacted weight clogs system introduces harmful toxins throws order struggling effects normal actually caused condition compile turning seemingly small issues large scale body wide problem symptoms impacted waste high cholesterol memory issues rapid weight gain occasional fatigue impaired digestion water retention poor metabolism weak immune system reduced fat oxidization bloating cramping poor nutrient nutrient absorption rev metabolism metabolism buildup toxins colon prevent body absorbing nutrients needs function nutra sx cleanse blend herbs enzymes formulated detoxify colon promote healthy digestion, nutra sx master maximum aids healthy helps increase helps detoxify wal mart"
7,2.04,10,health sleep better calm mind,cocojojo,emu oil pure australian organic 6 times refined,https://i5.walmartimages.com/asr/a84eb308-8346-42ea-9a4d-4149fd06ed0d_1.6a5477a0f4ac6acd3361e5af9cbf9870.jpeg,pure organic australian emu oil natural organic 6x refined great skin hair organic product refined means going decreased odor lighter color aborigines emu thousands years source food clothing jewelry oil natural remedy aborigines discovered applied skin emu oil offered protection sun excellent moisturizer relieved muscle joint pain effective bruises emu oil fat lipids mimic found layer skin emu oil 100 triglyceride lipid type fatty compound similar fatty acids found human skin absorb skin faster oils creams emu oil absorbs skin easily contains fat lipids similar found tip layer skin oil able break barrier skin penetrate deep surface allowing act powerful moisturizer smooth rough elbows knees heels soften hands reduce itching flakiness dry skin emu oils anti inflammatory properties power reduce swelling number skin conditions psoriasis eczema stimulates skin cell regeneration circulation help suffering thinning skin bed sores plus helps reduce appearance scars burns stretch marks wrinkles sun damage,"health sleep better calm mind, cocojojo, emu oil pure australian organic 6 times refined, pure organic australian emu oil natural organic 6x refined great skin hair organic product refined means going decreased odor lighter color aborigines emu thousands years source food clothing jewelry oil natural remedy aborigines discovered applied skin emu oil offered protection sun excellent moisturizer relieved muscle joint pain effective bruises emu oil fat lipids mimic found layer skin emu oil 100 triglyceride lipid type fatty compound similar fatty acids found human skin absorb skin faster oils creams emu oil absorbs skin easily contains fat lipids similar found tip layer skin oil able break barrier skin penetrate deep surface allowing act powerful moisturizer smooth rough elbows knees heels soften hands reduce itching flakiness dry skin emu oils anti inflammatory properties power reduce swelling number skin conditions psoriasis eczema stimulates skin cell regeneration circulation help suffering thinning skin bed sores plus helps reduce appearance scars burns stretch marks wrinkles sun damage, emu oil pure australian organic 6 times refined wal mart"
8,1.56,3,beauty beauty hair care hair tools hair scalp treatments,victoria secret,12 amazing 2 minute deep repair treatment masque oz bottle,https://i5.walmartimages.com/asr/db0d0b1a-8de8-4e5b-a7c0-27d081434148_1.db300341b278a56eeb2b985addef1c86.jpeg | https://i5.walmartimages.com/asr/e23878d9-e72e-4a46-8c5a-5267dd418a11_1.39c5cc5ee94785a8e2ee3df2e1554174.jpeg | https://i5.walmartimages.com/asr/12459eb3-3f21-4f3b-92b9-0e24445845ad_1.fecb35ab72a385af499a82b10022fe0d.jpeg | https://i5.walmartimages.com/asr/3f67005d-86c6-470b-bfd9-23b46c268976_1.8e3508ff7122ce68abddbe8e33324016.jpeg,pick product s sure treat hair right 12 amazing 2 minute deep repair treatment masque hard working product hair types helps repair dry damaged hair strengthening hydrating hair fast acting easy use masque free harmful substances gluten sulfates parabens offering uv protection ready enjoy sun product transform frizzy tangled hair shiny silky state look feel great bottle best directions use 12 amazing 2 minute deep repair treatment masque great product taking care hair types styles fast acting masque hair looking feeling healthy time helps fight dryness tangles hair hydrated contains harmful gluten sulfates parabens superior cleaning quality included uv protection hair look great sun need worry damage,"beauty beauty hair care hair tools hair scalp treatments, , 12 amazing 2 minute deep repair treatment masque oz bottle, pick product s sure treat hair right 12 amazing 2 minute deep repair treatment masque hard working product hair types helps repair dry damaged hair strengthening hydrating hair fast acting easy use masque free harmful substances gluten sulfates parabens offering uv protection ready enjoy sun product transform frizzy tangled hair shiny silky state look feel great bottle best directions use 12 amazing 2 minute deep repair treatment masque great product taking care hair types styles fast acting masque hair looking feeling healthy time helps fight dryness tangles hair hydrated contains harmful gluten sulfates parabens superior cleaning quality included uv protection hair look great sun need worry damage, 12 amazing 2 minute deep repair treatment masque oz bottle wal mart"
9,1.92,0,personal care incontinence incontinence,quality,prevail fit underwear medium 34 44 inch waist pack 20,https://i5.walmartimages.com/asr/c09cf1fd-efde-411c-864a-273492e75f9a_1.352b4b174bdc3f40880a5b18d4809b14.jpeg | https://i5.walmartimages.com/asr/9c0b18f9-64ae-4b5b-8fd1-efc53229eafc_1.51f93b110723fe249c2ea9e3627c1192.jpeg | https://i5.walmartimages.com/asr/991567fd-4585-4fc8-a4f2-66f79812bb03_1.66fd00ea5f202715ec52cb486576894b.jpeg,prevail fit underwear medium 34 44 inch waist pack 20prevail fit underwear prevail fit underwear provides leakage protection comfort great everyday value features item model number size medium 34 44 inch waist extra absorbency unisex designed fit woman man label size printed inside waistband breathable zones ventilated areas allow air freely migrate wearer helping maintain skin wellness comfort reducing heat build cloth like outer fabric soft breathable outer fabric comfortable wearer reduces risk skin irritation traditional plastic backed incontinence product quick wick maxsoft technology combines superior softness class acquisition speeds item sold pack 20 directly edit html overwritten mediaservice plugin occasional manufacturer changes image truly represent product read description carefully ordering base order solely image uncertain item 5665 proposition 65 warning california customers warning cancer reproductive harm,"personal care incontinence incontinence, quality, prevail fit underwear medium 34 44 inch waist pack 20, prevail fit underwear medium 34 44 inch waist pack 20prevail fit underwear prevail fit underwear provides leakage protection comfort great everyday value features item model number size medium 34 44 inch waist extra absorbency unisex designed fit woman man label size printed inside waistband breathable zones ventilated areas allow air freely migrate wearer helping maintain skin wellness comfort reducing heat build cloth like outer fabric soft breathable outer fabric comfortable wearer reduces risk skin irritation traditional plastic backed incontinence product quick wick maxsoft technology combines superior softness class acquisition speeds item sold pack 20 directly edit html overwritten mediaservice plugin occasional manufacturer changes image truly represent product read description carefully ordering base order solely image uncertain item 5665 proposition 65 warning california customers warning cancer reproductive harm, prevail fit underwear medium 34 44 inch waist pack 20 wal mart"
10,4.1,1889,beauty beauty brands makeup,paris,loreal paris voluminous original washable bold eye mascara deep burgundy fl oz,https://i5.walmartimages.com/asr/f736e443-a33c-4ea1-b1c7-12229da31a38.e0a32115e1b971294369e352a8eee5bf.jpeg | https://i5.walmartimages.com/asr/72a8905d-e2ed-4ef9-8983-8a89acc035d6.219639c99bff42454324870e12f4b918.jpeg | https://i5.walmartimages.com/asr/fcd30fc5-0413-47ff-b258-c7082340f508.2b9a678c9ca724094a55bbc91208787d.jpeg | https://i5.walmartimages.com/asr/79f3f6fa-1771-4117-99e7-26dc3cfa649c_1.32f76d04dba1c50f070793eed2663745.jpeg | https://i5.walmartimages.com/asr/097e44a8-7458-4e36-84ca-3772c97bdf4b_1.6a5411447b5b4e175d3fa00e62ba75d3.jpeg | https://i5.walmartimages.com/asr/783d3e30-ef1f-49b8-a2b9-d8e7c7484b6c_1.680acd5f37675d46a1bf7b5d6595bafc.jpeg | https://i5.walmartimages.com/asr/dbc3bbe2-b93a-4b7a-a4f1-0dc6a9ae1365_1.5809899e2c38697f48b2b66cc00df007.jpeg | https://i5.walmartimages.com/asr/b82854e7-959e-4dcc-8e86-8065c96b4601.5afd3cd08de9ca2e36e8f9ffc929f8c5.jpeg | https://i5.walmartimages.com/asr/33e3dd70-664d-4475-843c-b84bd3cd53f3_1.140b98bc38032aa6767883a45c2cac1f.jpeg | https://i5.walmartimages.com/asr/fb14b7ba-a6bb-43d8-bfb8-29e0d0a41259.14ac2e02adc9558d4e8abd33bf609dca.jpeg | https://i5.walmartimages.com/asr/8670c952-c26a-466d-a16a-c4c0a56a8141.6a750f85515ca5f8de9a7d7cc9e9181d.jpeg | https://i5.walmartimages.com/asr/55378419-b009-4d6e-a104-ce901096047d_1.919146f340cfb3d7d22bb8599c428fa7.jpeg,loreal paris voluminous original volume building mascara uniquely formulated resist clumping lashes soft build lashes 5x natural thickness volume maximizing brush quickly thickens builds lashes evenly bold look contains panthenol ceramide r helps protect condition lashes resists clumping flaking leaves lashes supple soft touch packaging vary receive reflected site bold volume building mascara lengthening mascara creates 5x fuller thicker lashes separates builds lash clump free smudge resistant mascara,"beauty beauty brands makeup, paris, loreal paris voluminous original washable bold eye mascara deep burgundy fl oz, loreal paris voluminous original volume building mascara uniquely formulated resist clumping lashes soft build lashes 5x natural thickness volume maximizing brush quickly thickens builds lashes evenly bold look contains panthenol ceramide r helps protect condition lashes resists clumping flaking leaves lashes supple soft touch packaging vary receive reflected site bold volume building mascara lengthening mascara creates 5x fuller thicker lashes separates builds lash clump free smudge resistant mascara, paris voluminous original washable bold eye mascara deep burgundy fl oz wal mart"
